USB Port Test [ V0.1] : 
-------------------------------------- 
Time	Result

2019-08-01 13:58:54--------->FAIL

2019-08-01 16:03:13--------->PASS

2019-08-01 16:03:36--------->FAIL

2019-08-01 16:03:41--------->PASS

2019-08-01 16:03:45--------->PASS

2019-08-01 16:03:47--------->PASS

2019-08-01 16:04:52--------->FAIL

2019-08-01 16:06:42--------->PASS

2019-08-01 16:07:36--------->PASS

2019-08-01 16:07:36--------->PASS

2019-08-01 16:07:41--------->PASS

2019-08-01 16:12:35--------->PASS

2019-08-01 16:24:12--------->PASS

2019-08-01 16:24:44--------->PASS

2019-08-01 16:55:20--------->PASS

2019-08-01 16:55:50--------->PASS

2019-08-01 16:59:19--------->PASS
