USB Port Test : 
-------------------------------------- 
Time	Result

2019-08-05 14:20:49--------->FAIL

2019-08-05 14:24:13--------->FAIL

2019-08-05 14:24:22--------->FAIL

2019-08-05 14:24:23--------->FAIL

2019-08-05 14:24:33--------->PASS

2019-08-05 14:24:36--------->FAIL

2019-08-05 14:24:51--------->FAIL

2019-08-05 14:25:06--------->FAIL

2019-08-05 14:25:27--------->FAIL

2019-08-05 14:31:45--------->PASS

2019-08-05 14:31:49--------->FAIL

2019-08-05 14:32:47--------->PASS

2019-08-05 14:33:25--------->PASS

2019-08-05 14:46:54--------->PASS

2019-08-05 14:51:08--------->PASS

2019-08-05 15:00:00--------->PASS

2019-08-05 15:00:27--------->PASS

2019-08-05 15:01:01--------->PASS

2019-08-05 15:01:29--------->PASS

2019-08-05 15:03:59--------->PASS

2019-08-05 15:04:26--------->PASS

2019-08-05 15:06:09--------->FAIL

2019-08-05 15:10:32--------->FAIL

2019-08-05 15:12:21--------->PASS

2019-08-05 15:12:34--------->FAIL

2019-08-05 15:13:03--------->FAIL

2019-08-05 15:13:56--------->FAIL

2019-08-05 15:16:02--------->FAIL

2019-08-05 15:16:56--------->FAIL

2019-08-05 15:18:22--------->PASS

2019-08-05 15:18:31--------->PASS

2019-08-05 15:19:17--------->PASS

2019-08-05 15:20:05--------->PASS

2019-08-05 15:21:12--------->PASS

2019-08-05 15:24:51--------->PASS

2019-08-05 15:26:53--------->PASS

2019-08-05 15:26:56--------->PASS

2019-08-05 15:27:10--------->PASS

2019-08-05 15:40:51--------->PASS

2019-08-05 15:46:03--------->PASS

2019-08-05 15:46:47--------->PASS

2019-08-05 15:46:49--------->PASS

2019-08-05 15:46:51--------->PASS

2019-08-05 15:47:15--------->PASS

2019-08-05 15:47:19--------->PASS

2019-08-05 15:47:23--------->PASS

2019-08-05 15:47:45--------->PASS

2019-08-05 15:48:07--------->PASS

2019-08-05 15:51:01--------->PASS

2019-08-05 15:51:11--------->PASS

2019-08-05 15:51:22--------->PASS

2019-08-05 15:59:57--------->PASS

2019-08-05 16:00:33--------->PASS
