USB Port Test [ V0.1] : 
-------------------------------------- 
Time	Result

2019-08-02 09:30:10--------->PASS

2019-08-02 15:07:10--------->PASS

2019-08-02 15:17:28--------->PASS

2019-08-02 15:17:37--------->PASS

2019-08-02 15:18:00--------->PASS

2019-08-02 15:18:13--------->PASS

2019-08-02 15:48:38--------->PASS

2019-08-02 15:51:08--------->PASS

2019-08-02 15:51:14--------->PASS

2019-08-02 15:51:21--------->PASS

2019-08-02 15:52:55--------->PASS

2019-08-02 15:53:08--------->PASS

2019-08-02 15:57:19--------->FAIL

2019-08-02 15:57:29--------->FAIL

2019-08-02 15:58:45--------->FAIL

2019-08-02 15:59:08--------->FAIL

2019-08-02 15:59:12--------->FAIL

2019-08-02 15:59:14--------->FAIL

2019-08-02 15:59:27--------->PASS

2019-08-02 15:59:31--------->PASS

2019-08-02 15:59:33--------->PASS

2019-08-02 15:59:33--------->PASS

2019-08-02 15:59:33--------->PASS

2019-08-02 15:59:33--------->PASS

2019-08-02 15:59:34--------->PASS

2019-08-02 16:00:09--------->FAIL

2019-08-02 16:00:13--------->FAIL

2019-08-02 16:00:24--------->PASS

2019-08-02 16:00:24--------->PASS

2019-08-02 16:00:24--------->PASS

2019-08-02 16:00:25--------->PASS

2019-08-02 16:00:25--------->PASS

2019-08-02 16:00:25--------->PASS

2019-08-02 16:00:25--------->PASS

2019-08-02 16:00:25--------->PASS

2019-08-02 16:00:25--------->PASS

2019-08-02 16:00:26--------->PASS

2019-08-02 17:22:48--------->FAIL

2019-08-02 17:23:28--------->PASS

2019-08-02 17:23:31--------->FAIL

2019-08-02 17:23:36--------->PASS

2019-08-02 17:23:49--------->PASS
